ensembl_peptide_id,tf_gene,entrezgene_id
ENSP00000259915,POU5F1,5460
ENSP00000260058,CREBZF,58487
ENSP00000260264,POU2F3,25833
ENSP00000260653,SIX3,6496
ENSP00000260926,SATB2,23314
ENSP00000261178,ARNTL2,56938
ENSP00000261302,FOXN3,1112
ENSP00000261332,ZNF24,7572
ENSP00000261438,KLF3,51274
ENSP00000261443,CSDE1,7812
ENSP00000261454,PROX1,5629
ENSP00000261523,RORA,6095
ENSP00000261560,ZNF430,80264
ENSP00000261646,SREBF1,6720
ENSP00000261726,CUX2,23316
ENSP00000261731,LHX5,64211
ENSP00000261749,ZFAND6,54469
ENSP00000261980,VSX2,338917
ENSP00000262032,IKZF4,64375
ENSP00000262041,MEOX2,4223
ENSP00000262053,ATF1,466
ENSP00000262158,SMAD7,4092
ENSP00000262160,SMAD2,4087
ENSP00000262238,YY1,7528
ENSP00000262241,RCOR1,23186
ENSP00000262259,ZNF175,7728
ENSP00000262366,GLIS2,84662
ENSP00000262367,CREBBP,1387
ENSP00000262383,ZNF423,23090
ENSP00000262426,FOXF1,2294
ENSP00000262525,ZNF629,23361
ENSP00000262630,ZBTB32,27033
ENSP00000262735,PPARA,5465
ENSP00000262894,ZNF225,7768
ENSP00000262901,SIM1,6492
ENSP00000262904,E2F3,1871
ENSP00000262941,ZSCAN25,221785
ENSP00000262965,TCF3,6929
ENSP00000262971,PIAS4,51588
ENSP00000263095,ZNF264,9422
ENSP00000263253,EP300,2033
ENSP00000263334,PAX8,7849
ENSP00000263335,PAX8,7849
ENSP00000263351,ZNF541,84215
ENSP00000263381,WIZ,58525
ENSP00000263463,PGR,5241
ENSP00000263610,BARHL1,56751
ENSP00000263707,TFCP2L1,29842
ENSP00000263726,LHX4,89884
ENSP00000263734,EPAS1,2034
ENSP00000263781,POU1F1,5449
ENSP00000264008,NFATC3,4775
ENSP00000264010,CTCF,10664
ENSP00000264052,SP100,6672
ENSP00000264110,ATF2,1386
ENSP00000264444,MXD1,4084
ENSP00000264596,NEIL3,55247
ENSP00000264637,THRA,7067
ENSP00000264657,STAT3,6774
ENSP00000264674,MECOM,2122
ENSP00000264716,FOSL2,2355
ENSP00000264731,TP63,8626
ENSP00000264808,PRDM5,11107
ENSP00000264824,LYL1,4066
ENSP00000264834,KLF1,10661
ENSP00000265340,PITX1,5307
ENSP00000265343,AFF4,27125
ENSP00000265346,ZMIZ2,83637
ENSP00000265354,SRF,6722
ENSP00000265372,CREM,1390
ENSP00000265436,FOXP2,93986
ENSP00000265440,TFEC,22797
ENSP00000265460,MYRF,745
ENSP00000265801,LZTS1,11178
ENSP00000265827,ZNF800,168850
ENSP00000266068,GMEB2,26205
ENSP00000266077,SLC2A4RG,56731
ENSP00000266269,PATZ1,23598
ENSP00000266304,TEF,7008
ENSP00000266427,ETV6,2120
ENSP00000266503,ARNTL2,56938
ENSP00000266508,AEBP2,121536
ENSP00000266744,ASCL1,429
ENSP00000267064,SMARCC2,6601
ENSP00000267294,ZIC5,85416
ENSP00000267525,ESR2,2100
ENSP00000267569,JDP2,122953
ENSP00000267807,ZNF280D,54816
ENSP00000267807,ZNF280D,145783
ENSP00000267811,TCF12,6938
ENSP00000268154,ZNF710,374655
ENSP00000268489,ZFHX3,463
ENSP00000268638,IRF8,3394
ENSP00000268655,ZNF174,7727
ENSP00000268712,NCOR1,9611
ENSP00000269216,GATA6,2627
ENSP00000269305,TP53,7157
ENSP00000269468,MBD1,4152
ENSP00000269469,MBD1,4152
ENSP00000269471,MBD1,4152
ENSP00000269829,ZNF544,27300
ENSP00000269834,ZIM3,114026
ENSP00000269844,PRDM15,63977
ENSP00000269945,DMRTC2,63946
ENSP00000269973,ZNF45,7596
ENSP00000270001,ZFP14,57677
ENSP00000270014,ZNF155,7711
ENSP00000270451,ZNF581,51545
ENSP00000270617,ZNF473,25888
ENSP00000270632,SPIB,6689
ENSP00000270649,ZNF614,80110
ENSP00000270722,PRDM16,63976
ENSP00000271411,POU2F1,5451
ENSP00000271555,MEF2D,4209
ENSP00000271640,SETDB1,9869
ENSP00000271688,CERS2,29956
ENSP00000271889,CREB3L4,148327
ENSP00000272223,OSR1,130497
ENSP00000272369,MEIS1,4211
ENSP00000272937,HES6,55502
ENSP00000273320,ZKSCAN7,55888
ENSP00000274599,ZNF300,91975
ENSP00000274605,N4BP3,23138
ENSP00000275423,RBAK,57786
ENSP00000275461,FERD3L,222894
ENSP00000276123,ZNF711,7552
ENSP00000276480,ST18,9705
ENSP00000276594,PRDM14,63978
ENSP00000276816,ZNF16,7564
ENSP00000277225,ZNF462,58499
ENSP00000277905,VAX1,11023
ENSP00000278314,ZNF214,7761
ENSP00000278319,ZNF215,7762
ENSP00000278772,ZNF343,79175
ENSP00000278780,OVOL2,58495
ENSP00000278823,MTA2,9219
ENSP00000278836,MYRF,745
ENSP00000279386,TBX6,6911
ENSP00000279550,YBX3,8531
ENSP00000280435,BCL11B,64919
ENSP00000280696,THRB,7068
ENSP00000281043,MYCN,4613
ENSP00000281047,MSGN1,343930
ENSP00000281321,POU4F2,5458
ENSP00000281428,FLI1,2313
ENSP00000281437,BARX2,8538
ENSP00000282282,ZNF547,284306
ENSP00000282286,ZNF304,57343
ENSP00000282292,ZNF773,374928
ENSP00000282296,ZNF551,90233
ENSP00000282308,ZNF256,10172
ENSP00000282326,ZSCAN1,284312
ENSP00000282549,OTX1,5013
ENSP00000282728,HHEX,3087
ENSP00000282869,ZNF117,51351
ENSP00000282928,ZIC1,7545
ENSP00000283268,FEZF2,55079
ENSP00000283628,UBP1,7342
ENSP00000283629,UBP1,7342
ENSP00000283921,HOXA10,3206
ENSP00000284000,CEBPG,1054
ENSP00000284165,MAX,4149
ENSP00000284382,CERS3,204219
ENSP00000284898,L3MBTL4,91133
ENSP00000284957,RABGEF1,27342
ENSP00000285102,MBD1,4152
ENSP00000285407,KLF10,7071
ENSP00000286437,AFF2,2334
ENSP00000286639,BATF,10538
ENSP00000286800,BACH1,571
ENSP00000286800,BACH1,100379661
ENSP00000287461,ZNF689,115509
ENSP00000287538,ZIC3,7547
ENSP00000287701,HMBOX1,79618
ENSP00000287820,PPARG,5468
ENSP00000287957,GATAD1,57798
ENSP00000288177,ZNF19,7567
ENSP00000288319,ERG,2078
ENSP00000288466,ZNF618,114991
ENSP00000288599,NCOA1,8648
ENSP00000288840,SMAD6,4091
ENSP00000288955,GRHL3,57822
ENSP00000289703,ELK4,2005
ENSP00000289788,ZSCAN23,222696
ENSP00000289816,ZNF276,92822
ENSP00000290295,HOXB13,10481
ENSP00000290399,SIM2,6493
ENSP00000290524,RFX5,5993
ENSP00000290552,IRX6,79190
ENSP00000290759,ISL2,64843
ENSP00000291182,ZNF235,9310
ENSP00000291442,NR2F6,2063
ENSP00000291547,PKNOX1,5316
ENSP00000291582,AIRE,326
ENSP00000291598,ZNF583,147949
ENSP00000292069,ZNF667,63934
ENSP00000292176,ZBTB7B,51043
ENSP00000292450,ZSCAN21,7589
ENSP00000292530,ZNF333,84449
ENSP00000292535,CUX1,1523
ENSP00000292562,ZNF251,90987
ENSP00000292579,ZNF250,58500
ENSP00000292841,ZNF585A,199704
ENSP00000292928,ZNF382,84911
ENSP00000293328,STAT5B,6777
ENSP00000293471,ZNF613,79898
ENSP00000293648,ZNF562,54811
ENSP00000293709,ATF6B,1388
ENSP00000293725,ZNF563,147837
ENSP00000293771,ZNF653,115950
ENSP00000293805,BCL6B,255877
ENSP00000294339,TAL1,6886
ENSP00000294409,GMEB1,10691
ENSP00000294638,LHX8,431707
ENSP00000294702,GFI1,2672
ENSP00000294740,ZNF281,23528
ENSP00000294753,ZNF496,84838
ENSP00000294816,LMX1A,4009
ENSP00000294905,BAZ2B,29994
ENSP00000295025,REL,5966
ENSP00000295108,NEUROD1,4760
ENSP00000295133,FBXO41,150726
ENSP00000295206,EN1,2019
ENSP00000295208,ZNF514,84874
ENSP00000295600,MITF,4286
ENSP00000295727,FEV,54738
ENSP00000295743,EOMES,8320
ENSP00000295886,NKX6-1,4825
ENSP00000295934,HESX1,8820
ENSP00000296091,ZNF502,91392
ENSP00000296092,ZNF35,7584
ENSP00000296096,TCF23,150921
ENSP00000296233,KLF15,28999
ENSP00000296682,PRDM9,56979
ENSP00000296839,FOXQ1,94234
ENSP00000296921,TLX3,30012
ENSP00000296946,T,6862
ENSP00000297142,NEUROD6,63974
ENSP00000297375,EN2,2020
ENSP00000297537,GBX1,2636
ENSP00000297565,OSR2,116039
ENSP00000297689,NFIL3,4783
ENSP00000297857,ZHX1,11244
ENSP00000297977,HDX,139324
ENSP00000298231,PHOX2A,401
ENSP00000298282,PKNOX2,63876
ENSP00000298299,ZNF22,7570
ENSP00000298466,SOHLH1,402381
ENSP00000298532,SNAPC4,6621
ENSP00000299162,FOXN4,121643
ENSP00000299237,ZNF319,57567
ENSP00000299506,TUB,7275
ENSP00000299606,ZNF143,7702
ENSP00000299667,ZNF3,7551
ENSP00000299860,ZNF419,79744
ENSP00000299871,ZNF211,10520
ENSP00000299927,ZNF592,9640
ENSP00000300057,MESP1,55897
ENSP00000300101,ZBTB39,9880
ENSP00000300134,STAT6,6778
ENSP00000300305,RUNX1,861
ENSP00000300305,RUNX1,100506403
ENSP00000300619,ZNF91,7644
ENSP00000300659,NFATC3,4775
ENSP00000300849,ZNF668,79759
ENSP00000300850,ZNF646,9726
ENSP00000300862,HIF3A,64344
ENSP00000300870,ZNF267,10308
ENSP00000301042,ZNF641,121274
ENSP00000301073,ZNF524,147807
ENSP00000301093,ZNF701,55762
ENSP00000301096,ZNF83,55769
ENSP00000301215,ZNF526,116115
ENSP00000301310,ZNF582,147948
ENSP00000301318,ZFP28,140612
ENSP00000301399,ZNF577,84765
ENSP00000301459,RCOR2,283248
ENSP00000301475,ZNF558,148156
ENSP00000301480,ZNF560,147741
ENSP00000301547,ZNF443,10224
ENSP00000301727,E4F1,1877
ENSP00000301744,ZNF597,146434
ENSP00000301887,BATF2,116071
ENSP00000301948,MECP2,4204
ENSP00000302159,E2F6,1876
ENSP00000302189,NHLH1,4807
ENSP00000302216,ATOH1,474
ENSP00000302222,ZNF25,219749
ENSP00000302251,GBX2,2637
ENSP00000302310,ZNF396,252884
ENSP00000302455,ZNF17,7565
ENSP00000302456,KLF13,51621
ENSP00000302485,CSDC2,27254
ENSP00000302501,ZEB2,9839
ENSP00000302502,ZSCAN32,54925
ENSP00000302548,HOXD4,3233
ENSP00000302603,ZNF556,80032
ENSP00000302630,ONECUT1,3175
ENSP00000302669,PRDM10,56980
ENSP00000302756,FOXD4L1,200350
ENSP00000302770,ZNF296,162979
ENSP00000302812,SP7,121340
ENSP00000302814,OTP,23440
ENSP00000302836,HOXC9,3225
ENSP00000302919,SMARCC2,6601
ENSP00000303102,ZBTB46,140685
ENSP00000303315,JUNB,3726
ENSP00000303468,ZCCHC4,29063
ENSP00000303533,ZNF138,7697
ENSP00000303599,HSFY1,86614
ENSP00000303696,ZNF57,126295
ENSP00000303820,ZIK1,284307
ENSP00000303847,RFX3,5991
ENSP00000303889,ZNF30,90075
ENSP00000303915,ZNF561,93134
ENSP00000304004,FOXA3,3171
ENSP00000304169,PITX2,5308
ENSP00000304268,ZNF33A,7581
ENSP00000304286,FOXI1,2299
ENSP00000304308,ZNF217,7764
ENSP00000304331,GSX1,219409
ENSP00000304502,SIX2,10736
ENSP00000304595,HES4,57801
ENSP00000304676,ATOH8,84913
ENSP00000304769,ZNF467,168544
ENSP00000304985,ZFX,7543
ENSP00000305077,ZNF439,90594
ENSP00000305203,ZNF778,197320
ENSP00000305244,IRX1,79192
ENSP00000305373,ZNF440,126070
ENSP00000305422,CEBPB,1051
ENSP00000305426,TUB,7275
ENSP00000305483,ZNF692,55657
ENSP00000305560,RREB1,6239
ENSP00000305689,AFF1,4299
ENSP00000305769,SMAD1,4086
ENSP00000305785,DMRT2,10655
ENSP00000305804,ZNF131,7690
ENSP00000305815,RBPJ,3516
ENSP00000305973,HOXC4,3221
ENSP00000306102,ZNF420,147923
ENSP00000306245,FOS,2353
ENSP00000306335,RFX2,5990
ENSP00000306351,ZNF182,7569
ENSP00000306372,ZNF3,7551
ENSP00000306522,CAMTA1,23261
ENSP00000306523,INSM2,84684
ENSP00000306549,HSFY2,86614
ENSP00000306549,HSFY2,159119
ENSP00000306579,CERS6,253782
ENSP00000306754,NEUROD2,4761
ENSP00000306756,ZNF584,201514
ENSP00000306869,ZNF565,147929
ENSP00000306894,ETV5,2119
ENSP00000307006,IRX2,153572
ENSP00000307023,KLF11,8462
ENSP00000307041,BNC1,646
ENSP00000307208,BPTF,2186
ENSP00000307321,HOXC10,3226
ENSP00000307479,ARNT2,9915
ENSP00000307604,ZBTB5,9925
ENSP00000307774,ZNF239,8187
ENSP00000307858,ZBTB4,57659
ENSP00000308051,RUNX3,864
ENSP00000308252,HOXB3,3213
ENSP00000308578,ZNF431,170959
ENSP00000308741,CLOCK,9575
