ensembl_peptide_id,tf_gene,entrezgene_id
ENSMUSP00000025746,Dpf2,19708
ENSMUSP00000025755,Dmrt1,50796
ENSMUSP00000025850,Fosl1,14283
ENSMUSP00000025861,Ovol1,18426
ENSMUSP00000025867,Rela,19697
ENSMUSP00000025906,Esrra,26379
ENSMUSP00000025944,Hhex,15242
ENSMUSP00000025998,Mxi1,17859
ENSMUSP00000026096,Bnc1,12173
ENSMUSP00000026120,Bhlhe22,59058
ENSMUSP00000026236,Tlx1,21908
ENSMUSP00000026259,Pitx3,18742
ENSMUSP00000026284,Zfhx4,80892
ENSMUSP00000026303,Apex2,77622
ENSMUSP00000026367,Sp4,20688
ENSMUSP00000026390,Rabgef1,56715
ENSMUSP00000026405,Bloc1s1,14533
ENSMUSP00000026405,Bloc1s1,666114
ENSMUSP00000026433,Smarcc2,68094
ENSMUSP00000026474,Gli1,14632
ENSMUSP00000026475,Ddit3,13198
ENSMUSP00000026476,Mbd6,110962
ENSMUSP00000026571,Irf7,54123
ENSMUSP00000026693,Zfp202,80902
ENSMUSP00000026703,Bach1,12013
ENSMUSP00000026999,Smad7,17131
ENSMUSP00000027059,Tfap2b,21419
ENSMUSP00000027062,Msc,17681
ENSMUSP00000027146,Ikzf2,22779
ENSMUSP00000027277,Stat4,20849
ENSMUSP00000027315,Zfp142,77264
ENSMUSP00000027629,Tfcp2l1,81879
ENSMUSP00000027649,Nr5a2,26424
ENSMUSP00000027696,Elk4,13714
ENSMUSP00000027730,Myog,17928
ENSMUSP00000027740,Lhx4,16872
ENSMUSP00000027778,Mixl1,27217
ENSMUSP00000027850,Pou2f1,18986
ENSMUSP00000027859,Tbx19,83993
ENSMUSP00000027878,Prrx1,18933
ENSMUSP00000027906,Esrrg,26381
ENSMUSP00000027941,Atf3,11910
ENSMUSP00000027943,Batf3,381319
ENSMUSP00000027974,Atf6,226641
ENSMUSP00000028003,Lmx1a,110648
ENSMUSP00000028068,Ptf1a,19213
ENSMUSP00000028084,Nr5a1,26423
ENSMUSP00000028125,Zbtb43,71834
ENSMUSP00000028156,Gfi1b,14582
ENSMUSP00000028166,Nr4a2,18227
ENSMUSP00000028229,Zeb2,24136
ENSMUSP00000028302,Lhx3,16871
ENSMUSP00000028355,Pax8,18510
ENSMUSP00000028426,Cers6,241447
ENSMUSP00000028609,Elf5,13711
ENSMUSP00000028639,Meis2,17536
ENSMUSP00000028663,Creb3l1,26427
ENSMUSP00000028928,Gzf1,74533
ENSMUSP00000029057,Nfatc2,18019
ENSMUSP00000029061,Sall4,99377
ENSMUSP00000029069,E2f5,13559
ENSMUSP00000029106,Zbtb46,72147
ENSMUSP00000029203,Zfp639,67778
ENSMUSP00000029369,Sohlh2,74434
ENSMUSP00000029371,Smad9,55994
ENSMUSP00000029422,Shox2,20429
ENSMUSP00000029446,Csde1,229663
ENSMUSP00000029462,Tbx15,21384
ENSMUSP00000029547,Creb3l4,78284
ENSMUSP00000029587,Neurog2,11924
ENSMUSP00000029657,Pitx2,18741
ENSMUSP00000029677,Zbtb7b,22724
ENSMUSP00000029772,Rfx5,53970
ENSMUSP00000029795,Rorc,19885
ENSMUSP00000029812,Nfkb1,18033
ENSMUSP00000030025,Nr4a3,18124
ENSMUSP00000030043,Zfp618,72701
ENSMUSP00000030124,Tal2,21350
ENSMUSP00000030131,Zfp462,242466
ENSMUSP00000030133,Nfx1,74164
ENSMUSP00000030391,Tfap2c,21420
ENSMUSP00000030407,Mycl,16918
ENSMUSP00000030489,Tal1,21349
ENSMUSP00000030508,Pax7,18509
ENSMUSP00000030610,Zbtb8a,73680
ENSMUSP00000030723,Mtf1,17764
ENSMUSP00000030733,Gmeb1,56809
ENSMUSP00000030771,Dnajc2,22791
ENSMUSP00000030782,Hes2,15206
ENSMUSP00000030902,Prdm16,70673
ENSMUSP00000031017,Fosl2,14284
ENSMUSP00000031077,Zcchc4,78796
ENSMUSP00000031256,Aff1,17355
ENSMUSP00000031533,Tfec,21426
ENSMUSP00000031535,Hnf1a,21405
ENSMUSP00000031545,Foxp2,114142
ENSMUSP00000031562,Zfp513,101023
ENSMUSP00000031591,Lhx5,16873
ENSMUSP00000031601,Zkscan5,22757
ENSMUSP00000031632,Zkscan14,67235
ENSMUSP00000031650,Cdx2,12591
ENSMUSP00000031709,Fezf1,73191
ENSMUSP00000031718,Pax4,18506
ENSMUSP00000031749,Nobox,18291
ENSMUSP00000031768,Dlx6,13396
ENSMUSP00000031787,Evx1,14028
ENSMUSP00000031973,Prdm5,70779
ENSMUSP00000031976,Prdm5,70779
ENSMUSP00000032070,Figla,26910
ENSMUSP00000032174,Klf15,66277
ENSMUSP00000032194,Bhlhe40,20893
ENSMUSP00000032309,Ybx3,56449
ENSMUSP00000032359,Aebp2,11569
ENSMUSP00000032386,Bhlhe41,79362
ENSMUSP00000032469,Mbd4,17193
ENSMUSP00000032551,Zik1,22775
ENSMUSP00000032591,Zfp12,231866
ENSMUSP00000032622,Zfp773,76373
ENSMUSP00000032661,Zfp819,74400
ENSMUSP00000032673,Zfp94,22756
ENSMUSP00000032696,Zfp93,22755
ENSMUSP00000032717,Dbx1,13172
ENSMUSP00000032760,Mesp1,17292
ENSMUSP00000032768,Nr2f2,11819
ENSMUSP00000032776,Mef2a,17258
ENSMUSP00000032796,Zfp790,233056
ENSMUSP00000032797,Zfp74,72723
ENSMUSP00000032802,Zfp84,74352
ENSMUSP00000032803,Zfp30,22693
ENSMUSP00000032820,Zscan26,432731
ENSMUSP00000032916,Maz,17188
ENSMUSP00000033060,Tead2,21677
ENSMUSP00000033224,Eri2,71151
ENSMUSP00000033341,Tub,22141
ENSMUSP00000033429,Elf4,56501
ENSMUSP00000033502,Gata1,14460
ENSMUSP00000033532,Aff2,14266
ENSMUSP00000033689,Cdx4,12592
ENSMUSP00000033731,Zfp275,27081
ENSMUSP00000033740,Zfp92,22754
ENSMUSP00000033770,Mecp2,17257
ENSMUSP00000034031,Nr3c2,110784
ENSMUSP00000034034,Isx,71597
ENSMUSP00000034041,Irf2,16363
ENSMUSP00000034090,Sall1,58198
ENSMUSP00000034115,Pou4f2,18997
ENSMUSP00000034163,Zfp821,75871
ENSMUSP00000034184,Irx5,54352
ENSMUSP00000034185,Irx6,64379
ENSMUSP00000034259,Zfp709,236193
ENSMUSP00000034382,Zfp90,22751
ENSMUSP00000034513,Pou2f3,18988
ENSMUSP00000034534,Ets1,23871
ENSMUSP00000034629,Hinfp,102423
ENSMUSP00000034755,Tcf12,21406
ENSMUSP00000034766,Rora,19883
ENSMUSP00000034831,Nr2e3,23958
ENSMUSP00000034869,Isl2,104360
ENSMUSP00000034927,Zic1,22771
ENSMUSP00000034973,Smad3,17127
ENSMUSP00000034982,Tfdp2,211586
ENSMUSP00000034991,Tbx18,76365
ENSMUSP00000035020,Eomes,13813
ENSMUSP00000035304,Crebl2,232430
ENSMUSP00000035423,Hoxb5,15413
ENSMUSP00000035437,Zbed4,223773
ENSMUSP00000035437,Zbed4,100043240
ENSMUSP00000035499,Zfp788,67607
ENSMUSP00000035539,Spib,272382
ENSMUSP00000035583,Ikzf5,67143
ENSMUSP00000035650,Glis1,230587
ENSMUSP00000035746,Foxj3,230700
ENSMUSP00000035754,Zic5,65100
ENSMUSP00000035806,Pknox2,208076
ENSMUSP00000035902,Tfap2e,332937
ENSMUSP00000035976,Vax2,24113
ENSMUSP00000036035,Foxn3,71375
ENSMUSP00000036049,Zfp623,78834
ENSMUSP00000036150,Six4,20474
ENSMUSP00000036285,Smad6,17130
ENSMUSP00000036329,Zxdc,80292
ENSMUSP00000036480,Lhx9,16876
ENSMUSP00000036514,Zfp472,224691
ENSMUSP00000036582,Zfp532,328977
ENSMUSP00000036585,Rxrb,20182
ENSMUSP00000036591,Foxh1,14106
ENSMUSP00000036625,Gsx2,14843
ENSMUSP00000036627,Zfp60,22718
ENSMUSP00000036663,Zfp189,230162
ENSMUSP00000036761,En2,13799
ENSMUSP00000036797,Olig2,50913
ENSMUSP00000036952,Foxq1,15220
ENSMUSP00000036981,Atoh8,71093
ENSMUSP00000037042,Egr3,13655
ENSMUSP00000037075,Gmeb2,229004
ENSMUSP00000037109,Lzts3,241638
ENSMUSP00000037233,Zfp292,30046
ENSMUSP00000037401,Tbx10,109575
ENSMUSP00000037477,Myrfl,237558
ENSMUSP00000037619,L3mbtl3,237339
ENSMUSP00000037699,Tfap2d,226896
ENSMUSP00000037702,Ascl3,56787
ENSMUSP00000037774,Jarid2,16468
ENSMUSP00000037971,Zfp91,109910
ENSMUSP00000038014,Hey1,15213
ENSMUSP00000038047,Zfp644,52397
ENSMUSP00000038117,Trp63,22061
ENSMUSP00000038138,Kdm5b,75605
ENSMUSP00000038153,2610305D13Rik,112422
ENSMUSP00000038195,9130019O22Rik,78921
ENSMUSP00000038298,Zfp335,329559
ENSMUSP00000038351,Foxj1,15223
ENSMUSP00000038532,Creb5,231991
ENSMUSP00000038760,Rfx3,19726
ENSMUSP00000039003,Zfp281,226442
ENSMUSP00000039012,Hoxa5,15402
ENSMUSP00000039018,Hmx3,15373
ENSMUSP00000039071,Mxd4,17122
ENSMUSP00000039073,Zfp446,269870
ENSMUSP00000039088,Vsx1,114889
ENSMUSP00000039170,Hoxa13,15398
ENSMUSP00000039222,Zfp800,627049
ENSMUSP00000039248,Prdm1,12142
ENSMUSP00000039307,Sp6,83395
ENSMUSP00000039392,3110052M02Rik,73229
ENSMUSP00000039397,Lzts1,211134
ENSMUSP00000039757,Baz1a,217578
ENSMUSP00000039794,Zfp40,22700
ENSMUSP00000039801,Atoh7,53404
ENSMUSP00000040089,Twist1,22160
ENSMUSP00000040121,Hoxb7,15415
ENSMUSP00000040208,Creb3l2,208647
ENSMUSP00000040245,Irf8,15900
ENSMUSP00000040248,Zkscan8,93681
ENSMUSP00000040282,Zfp715,69930
ENSMUSP00000040332,Prrx2,20204
ENSMUSP00000040364,Neurod1,18012
ENSMUSP00000040464,Pbx2,18515
ENSMUSP00000040505,Hlx,15284
ENSMUSP00000040576,Heyl,56198
ENSMUSP00000040611,Tcfl5,277353
ENSMUSP00000040694,Rbpj,19664
ENSMUSP00000040706,Batf,53314
ENSMUSP00000040920,Hoxa11,15396
ENSMUSP00000041034,Mynn,80732
ENSMUSP00000041053,Egr2,13654
ENSMUSP00000041118,Foxa1,15375
ENSMUSP00000041242,Zfp704,170753
ENSMUSP00000041370,Gatad2b,229542
ENSMUSP00000041373,Neurod2,18013
ENSMUSP00000041575,Zfp647,239546
ENSMUSP00000041767,Snapc4,227644
ENSMUSP00000041774,Gata6,14465
ENSMUSP00000041796,Zfp113,56314
ENSMUSP00000041821,Zkscan2,210162
ENSMUSP00000041909,Neil3,234258
ENSMUSP00000041912,Erf,13875
ENSMUSP00000041942,Prdm4,72843
ENSMUSP00000041944,Zfp324,243834
ENSMUSP00000041953,Foxp3,20371
ENSMUSP00000041955,Zbtb1,268564
ENSMUSP00000041999,Hesx1,15209
ENSMUSP00000042056,St18,240690
ENSMUSP00000042321,Zscan2,22691
ENSMUSP00000042413,Dlx1,13390
ENSMUSP00000042512,Alx1,216285
ENSMUSP00000042716,Nkx6-1,18096
ENSMUSP00000042995,Obox2,246792
ENSMUSP00000043078,Hoxd1,15429
ENSMUSP00000043138,Phf20,228829
ENSMUSP00000043173,Foxa3,15377
ENSMUSP00000043436,Crx,12951
ENSMUSP00000043482,Hdx,245596
ENSMUSP00000043587,Meox2,17286
ENSMUSP00000043616,Lmx1b,16917
ENSMUSP00000043668,Scx,20289
ENSMUSP00000043693,Bach2,12014
ENSMUSP00000043792,Camta2,216874
ENSMUSP00000043795,Mga,29808
ENSMUSP00000043909,Nfya,18044
ENSMUSP00000044020,2610008E11Rik,72128
ENSMUSP00000044026,Ovol2,107586
ENSMUSP00000044038,L3mbtl1,241764
ENSMUSP00000044128,Aff3,16764
ENSMUSP00000044245,Prdm14,383491
ENSMUSP00000044317,Klf8,245671
ENSMUSP00000044359,Baz2a,116848
ENSMUSP00000044432,Zgrf1,71643
ENSMUSP00000044441,Csdc2,105859
